timestamp,kwh,building
2024-01-01 00:00,8,Hostel
2024-01-01 01:00,8.5,Hostel
2024-01-01 02:00,9,Hostel
2024-01-01 03:00,9.5,Hostel
2024-01-01 04:00,10,Hostel
2024-01-01 05:00,11,Hostel
2024-01-01 06:00,12,Hostel
2024-01-01 07:00,14,Hostel
2024-01-01 08:00,16,Hostel
2024-01-01 09:00,18,Hostel
2024-01-01 10:00,20,Hostel
2024-01-01 11:00,21,Hostel
2024-01-01 12:00,22,Hostel
2024-01-01 13:00,23,Hostel
2024-01-01 14:00,24,Hostel
2024-01-01 15:00,25,Hostel
2024-01-01 16:00,24,Hostel
2024-01-01 17:00,22,Hostel
2024-01-01 18:00,20,Hostel
