building,timestamp,kwh
Admin,2024-01-01 00:00:00,20.0
Library,2024-01-01 00:00:00,12.0
Hostel,2024-01-01 00:00:00,8.0
Admin,2024-01-01 01:00:00,21.0
Library,2024-01-01 01:00:00,12.5
Hostel,2024-01-01 01:00:00,8.5
Hostel,2024-01-01 02:00:00,9.0
Library,2024-01-01 02:00:00,13.0
Admin,2024-01-01 02:00:00,22.0
Admin,2024-01-01 03:00:00,23.0
Hostel,2024-01-01 03:00:00,9.5
Library,2024-01-01 03:00:00,13.5
Library,2024-01-01 04:00:00,14.0
Hostel,2024-01-01 04:00:00,10.0
Admin,2024-01-01 04:00:00,24.0
Hostel,2024-01-01 05:00:00,11.0
Admin,2024-01-01 05:00:00,25.0
Library,2024-01-01 05:00:00,14.5
Library,2024-01-01 06:00:00,15.0
Admin,2024-01-01 06:00:00,26.0
Hostel,2024-01-01 06:00:00,12.0
Admin,2024-01-01 07:00:00,28.0
Hostel,2024-01-01 07:00:00,14.0
Library,2024-01-01 07:00:00,16.0
Library,2024-01-01 08:00:00,17.0
Admin,2024-01-01 08:00:00,30.0
Hostel,2024-01-01 08:00:00,16.0
Library,2024-01-01 09:00:00,18.0
Hostel,2024-01-01 09:00:00,18.0
Admin,2024-01-01 09:00:00,32.0
Library,2024-01-01 10:00:00,19.0
Admin,2024-01-01 10:00:00,34.0
Hostel,2024-01-01 10:00:00,20.0
Admin,2024-01-01 11:00:00,35.0
Hostel,2024-01-01 11:00:00,21.0
Library,2024-01-01 11:00:00,20.0
Admin,2024-01-01 12:00:00,36.0
Hostel,2024-01-01 12:00:00,22.0
Library,2024-01-01 12:00:00,21.0
Admin,2024-01-01 13:00:00,37.0
Hostel,2024-01-01 13:00:00,23.0
Library,2024-01-01 13:00:00,22.0
Hostel,2024-01-01 14:00:00,24.0
Library,2024-01-01 14:00:00,23.0
Admin,2024-01-01 14:00:00,38.0
Hostel,2024-01-01 15:00:00,25.0
Library,2024-01-01 15:00:00,24.0
Admin,2024-01-01 15:00:00,39.0
Hostel,2024-01-01 16:00:00,24.0
Library,2024-01-01 16:00:00,23.0
Admin,2024-01-01 16:00:00,38.0
Admin,2024-01-01 17:00:00,36.0
Hostel,2024-01-01 17:00:00,22.0
Library,2024-01-01 17:00:00,22.0
Admin,2024-01-01 18:00:00,34.0
Hostel,2024-01-01 18:00:00,20.0
Library,2024-01-01 18:00:00,21.0
Admin,2024-01-01 19:00:00,32.0
Library,2024-01-01 19:00:00,20.0
Admin,2024-01-01 20:00:00,30.0
Library,2024-01-01 20:00:00,19.0
Admin,2024-01-01 21:00:00,28.0
Library,2024-01-01 21:00:00,18.0
Admin,2024-01-01 22:00:00,26.0
Library,2024-01-01 22:00:00,17.0
Library,2024-01-01 23:00:00,16.0
Admin,2024-01-01 23:00:00,24.0
Admin,2024-01-02 00:00:00,20.0
Library,2024-01-02 00:00:00,12.0
Admin,2024-01-02 01:00:00,21.0
Library,2024-01-02 01:00:00,12.5
Admin,2024-01-02 02:00:00,22.0
Library,2024-01-02 02:00:00,13.0
Admin,2024-01-02 03:00:00,23.0
Library,2024-01-02 03:00:00,13.5
Admin,2024-01-02 04:00:00,24.0
Library,2024-01-02 04:00:00,14.0
Library,2024-01-02 05:00:00,14.5
Admin,2024-01-02 05:00:00,25.0
Admin,2024-01-02 06:00:00,26.0
Library,2024-01-02 06:00:00,15.0
Library,2024-01-02 07:00:00,16.0
Admin,2024-01-02 07:00:00,28.0
Library,2024-01-02 08:00:00,17.0
Admin,2024-01-02 08:00:00,30.0
Admin,2024-01-02 09:00:00,32.0
Library,2024-01-02 09:00:00,18.0
Library,2024-01-02 10:00:00,19.0
Admin,2024-01-02 10:00:00,34.0
Library,2024-01-02 11:00:00,20.0
Admin,2024-01-02 11:00:00,35.0
Library,2024-01-02 12:00:00,21.0
Admin,2024-01-02 12:00:00,36.0
Library,2024-01-02 13:00:00,22.0
Admin,2024-01-02 13:00:00,37.0
Admin,2024-01-02 14:00:00,38.0
Library,2024-01-02 14:00:00,23.0
Library,2024-01-02 15:00:00,24.0
Admin,2024-01-02 15:00:00,39.0
Library,2024-01-02 16:00:00,23.0
Admin,2024-01-02 16:00:00,38.0
Admin,2024-01-02 17:00:00,36.0
Library,2024-01-02 17:00:00,22.0
Library,2024-01-02 18:00:00,21.0
Admin,2024-01-02 18:00:00,34.0
Admin,2024-01-02 19:00:00,32.0
Library,2024-01-02 19:00:00,20.0
Admin,2024-01-02 20:00:00,30.0
Library,2024-01-02 20:00:00,19.0
Admin,2024-01-02 21:00:00,28.0
Library,2024-01-02 21:00:00,18.0
Library,2024-01-02 22:00:00,17.0
Admin,2024-01-02 22:00:00,26.0
Admin,2024-01-02 23:00:00,24.0
Library,2024-01-02 23:00:00,16.0
